location;source;target;id;fuzzy;context;translator_comments;developer_comments
;$(PRODUCT_NAME);;;False;Account/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Missing error;Fehler nicht angegeben;;True;Account/en.lproj/Localizable.strings///Missing error;Error for a missing remote error number;
;Missing message;Nachricht nicht angegeben;;True;Account/en.lproj/Localizable.strings///Missing message;Error for a missing remote error message;
;$(PRODUCT_NAME);;;False;AccountTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;AppiumTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Add to Bookmarks;Zu Lesezeichen hinzufügen;;True;Client/en.lproj/3DTouchActions.strings///Add to Bookmarks;Label for preview action on Tab Tray Tab to add current tab to Bookmarks;
;Add to Reading List;Zur Leseliste hinzufügen;;True;Client/en.lproj/3DTouchActions.strings///Add to Reading List;Label for preview action on Tab Tray Tab to add current tab to Reading List;
;Close Tab;Tab schließen;;True;Client/en.lproj/3DTouchActions.strings///Close Tab;Label for preview action on Tab Tray Tab to close the current tab;
;Copy URL;Adresse kopieren;;True;Client/en.lproj/3DTouchActions.strings///Copy URL;Label for preview action on Tab Tray Tab to copy the URL of the current tab to clipboard;
;Open Last Bookmark;Letztes Lesezeichen öffnen;;True;Client/en.lproj/3DTouchActions.strings///Open Last Bookmark;String describing the action of opening the last added bookmark from the home screen Quick Actions via 3D Touch;
;Open Last Tab;Letzten Tab öffnen;;True;Client/en.lproj/3DTouchActions.strings///Open Last Tab;String describing the action of opening the last tab sent to Firefox from the home screen Quick Actions via 3D Touch;
;Preview of %@;Vorschau von %@;;True;Client/en.lproj/3DTouchActions.strings///Preview of %@;Accessibility label, associated to the 3D Touch action on the current tab in the tab tray, used to display a larger preview of the tab.;
;After 1 hour;Nach 1 Stunde;;True;Client/en.lproj/AuthenticationManager.strings///After 1 hour;'After 1 hour' interval item for selecting when to require passcode;
;After 1 minute;Nach 1 Minute;;True;Client/en.lproj/AuthenticationManager.strings///After 1 minute;'After 1 minute' interval item for selecting when to require passcode;
;After 5 minutes;Nach 5 Minuten;;True;Client/en.lproj/AuthenticationManager.strings///After 5 minutes;'After 5 minutes' interval item for selecting when to require passcode;
;After 10 minutes;Nach 10 Minuten;;True;Client/en.lproj/AuthenticationManager.strings///After 10 minutes;'After 10 minutes' interval item for selecting when to require passcode;
;After 15 minutes;Nach 15 Minuten;;True;Client/en.lproj/AuthenticationManager.strings///After 15 minutes;'After 15 minutes' interval item for selecting when to require passcode;
;Change Passcode;Code ändern;;True;Client/en.lproj/AuthenticationManager.strings///Change Passcode;Label used as a setting item and title of the following screen to change the current passcode;
;Enter Passcode;Code eingeben;;True;Client/en.lproj/AuthenticationManager.strings///Enter Passcode;Title of the dialog used to request the passcode;
;Enter a new passcode;Neuen Code eingeben;;True;Client/en.lproj/AuthenticationManager.strings///Enter a new passcode;Text displayed above the input field when changing the existing passcode;
;Enter a passcode;Code eingeben;;True;Client/en.lproj/AuthenticationManager.strings///Enter a passcode;Text displayed above the input field when entering a new passcode;
;Enter passcode;Code eingeben;;True;Client/en.lproj/AuthenticationManager.strings///Enter passcode;Text displayed above the input field when changing the existing passcode;
;Face ID & Passcode;;;False;Client/en.lproj/AuthenticationManager.strings///Face ID & Passcode;Label for the Face ID/Passcode item in Settings;
;Immediately;Sofort;;True;Client/en.lproj/AuthenticationManager.strings///Immediately;'Immediately' interval item for selecting when to require passcode;
;Incorrect passcode. Try again (Attempts remaining: %d).;Falscher Code. Versuchen Sie es erneut (es verbleiben %d Versuche).;;True;Client/en.lproj/AuthenticationManager.strings///Incorrect passcode. Try again (Attempts remaining: %d).;Error message displayed when user enters incorrect passcode when trying to enter a protected section of the app with attempts remaining;
;Incorrect passcode. Try again.;Falscher Code. Versuchen Sie es erneut.;;True;Client/en.lproj/AuthenticationManager.strings///Incorrect passcode. Try again.;Error message displayed when user enters incorrect passcode when trying to enter a protected section of the app;
